Collection Name,Collection ID,Number of Documents,Total Size (Bytes)
.,137ba578-5b31-44ee-ba2c-905cb6590d73,0,0
..,7aead934-35d7-4292-99c1-151a2fefce41,0,0
..Acceso Restringido 7222,fd8004ea-ecf0-4c2f-9ac5-540d5617ec5f,0,0
..Acceso Restringido 7223,9d088973-738e-45f5-9255-3f5d3ab34467,0,0
..Acceso Restringido 7224,262d4c20-1938-43c8-80b3-143221c2d162,0,0
Acceso restringido INER,cf2d3bfe-80ba-4609-889a-6da08f2eb692,0,0
Administración (Bacterología),3e4337b7-7607-4337-b2ee-4cb4c42cc383,7,2853115
Administración (Laboratorio de Microbiología),b79c174d-cac0-4ab9-bbf9-ece67a0a5b58,6,2528809
.Anatomía Patológica,f05062c0-5fd8-4f88-bb64-9115520d2c1c,16,27118341
.Anestesiología,6b7c8a18-abc7-4513-83fe-54c98bd7cf5c,51,67505381
Artículos,bab79859-e77f-4fa9-bce3-fb839bb4e6fe,5,8740
Artículos,e139fa31-c751-43ed-a13c-f5c1a379a15d,0,0
Artículos,e509b92b-8926-4987-83f3-65262257397d,0,0
ARTÍCULOS - Espacio Científico de Contabilidad y Administración UASLP (ECCA),3deaf1d0-405b-462a-941d-15dbd1fe75c8,11,37254026
Boletín de la Facultad de Medicina,5e2e2a4f-5d4c-4a21-b056-d907c6d6cacc,6,325236
.Cardiología,92670b9a-89d4-4ab2-98fd-e367c3f4856a,12,22112383
Cartel / Poster,b392a35d-84ed-4348-8104-b4a7e66d79b3,1,543906
.Cirugía General,6030a719-9bf4-4581-a79d-8cc5f1616ea7,37,50795516
Colección restringida,aee0faf1-9606-4d2e-b4e7-7dd846205078,0,0
Colección restringida,9df0ffe5-eb47-449d-959b-766ed3959d02,0,0
Conjunto de datos,155c329e-868a-4ebb-bf11-43e847c64f17,0,0
Coordinación para la Innovación y la Aplicación de la Ciencia y Tecnología,001c39b2-81b4-4ad5-989a-a510ba158071,1,15738575
.Dermatología,021c9dad-667e-40f4-876e-b594b350233b,8,1879802
Docencia (Bacterología),1084534e-86c9-4a80-9fc7-c56aab3f2562,38,38921782
Docencia (Laboratorio de Microbiología),c86ecd3d-ab8f-4a3c-8c1b-c454351cedbf,97,926195424
Doctorado en Ciencias Agropecuarias,810060b9-7430-409f-85f1-70648e2c66d9,11,15823512
Doctorado en Ciencias Ambientales,7295aab7-e58d-4179-8653-edaf1812dd03,100,432802778
Doctorado en Ciencias Aplicadas,0d87d3a8-3dfc-4825-8dd6-03478bdbcb1d,45,157435657
Doctorado en Ciencias Biomédicas Básicas,55673abe-bd91-4c97-a2e7-8227707fd69e,29,196898233
Doctorado en Ciencias de la Administración,4159f96e-587f-4d79-ae80-99b618b803bf,1,1748
Doctorado en Ciencias de la Computación,f0f8f088-9c9e-4cae-a6f2-9f2dcc9df74f,0,0
Doctorado en Ciencias de la Ingeniería,a732cd3b-e350-4563-8e4f-643cb4f1e769,2,17406533
.Doctorado en Ciencias en Bioproceso,e11615d0-deed-497e-9818-5b965985c8a8,16,33355986
.Doctorado en Ciencias en Ingeniería Química,61cecb60-b5ff-428d-a5bb-8be1235cea15,17,60598999
.Doctorado en Ciencias Farmacobiológicas,aa6a6b80-78ff-42af-a45a-a1f469d68f15,24,52005390
Doctorado en Ciencias (Física),f907e3ac-076a-4b46-a68d-868a452c40a6,12,59732398
Doctorado en Ciencias Interdisciplinarias,22169dae-d091-4abc-9ed8-6ea3d8e37a01,8,46746670
Doctorado en Ciencias Odontológicas,fa297a81-ee25-44ce-bd49-b935a2945eb0,12,102052478
.Doctorado en Ciencias Químicas,7dcf4e73-3c50-4356-8375-71e9c48ea616,11,34392269
"Doctorado en Estudios Latinoamericanos en Territorio, Sociedad y Cultura",0d9f7b0e-b992-4152-a11c-6d697c02c8c1,8,76076154
Doctorado en Ingeniería de Minerales,ba4ff0ff-2606-4428-983d-87fe78d270f5,1,5329033
Doctorado en Ingeniería Eléctrica,19e4ea51-2227-428d-880a-f6a88f661a0a,1,3770905
Doctorado en  Ingeniería Electrónica,f70a3fdd-dbcf-4153-802a-82a6090411fe,0,0
Doctorado en Ingeniería Mecánica,98b1ed01-d98f-4255-912f-bbfc3d67286b,0,0
Doctorado en Psicología,52ca9998-d03b-4ff2-a149-cf1ba3c0127d,0,0
Doctorado Institucional en Ingeniería y Ciencia de Materiales,7a60e2c9-37d2-42b6-b03e-cb9e3dd25be5,15,261636905
Doctorado Interinstitucional en Ciencias del Hábitat,1785136b-4633-47bd-aaf6-3cdeb27a26c9,7,30153449
Documentos,376dc072-18de-42c5-9360-9b4364451ec5,1,6448708
Documentos,e09d01a3-b739-479d-bf10-f3617626e139,2,378985474
.Endocrinología,9ae160c2-8399-409e-a755-cf9b6403c28f,0,0
Especialidad en Ciencias del Hábitat,52a61f43-27d0-4a20-9df0-ff7b0ebd34e8,17,198839887
Especialidad en Cirugía Oral y Maxilofacial,9f25cb92-d80f-4481-8fae-a5b98f0a871f,8,18352406
Especialidad en Derecho Penal,b44b2a17-7713-41e4-aeb9-39d85a523fef,0,0
Especialidad en Derecho Privado,5a98741d-f352-4098-a963-e8fbc693841a,0,0
Especialidad en Enfermería Clínica Avanzada,bad3104d-3e6f-49e1-9298-5795f2b74dcf,76,153916112
Especialidad en Estomatología Pediátrica,db7e4faa-ebe6-4731-b011-acefd74297dd,24,6031210
"Especialidad en Odontología Estética, Cosmética, Restauradora e Implantología",da542c6e-81c0-49b2-a230-1a1f32948ead,0,0
Especialidad en Ortodoncia y Ortopedia Dentomaxilofacial,f111c0ee-443d-4d22-a8d3-371f28746969,28,7284870
Especialidad en Periodoncia,4313d284-2ed6-4488-9975-9f4ce3e982a7,1,1748
.Geriatría,1a900922-9db3-43db-b143-fa2bf7f0a93a,17,51001342
.Ginecología y Obstetricia,966f52bc-dada-4f7b-a525-9a2b889fcea7,56,67761314
H+D Hábitat más Diseño,db63df3c-d12b-4345-a2c4-dec590f50487,6,325236
Informes anuales del Rector,90e2770e-4eb0-4c36-8788-27ebba258ab5,30,131317519
Ingeniería en Nanotecnología y Energías Renovables (INER),98ed51fd-2627-4307-9b75-087070974dd8,1,409801
Investigación (Bacterología),4c86169d-6e08-4ec3-b321-b3f6bed66eaf,50,85165420
Investigación (Laboratorio de Microbiología),2195bf83-2e44-447c-a774-a1c2ccd856bd,67,111678082
Libros,c93fabab-e7f0-4498-8b5a-ce48ee60c228,1,46154350
Libros,3e7e784f-ef7f-4f78-a392-0e61893d381f,1,815059
Libros,e8a42cea-86fb-4b63-8b89-ed91ae8016f7,99,2923375685
Libros,cc687927-c932-446e-a6df-e6b218e61f34,1,1748
Libros,92e2bb9f-f625-487c-9dcd-a78270e51304,5,34738221
Libros,ca82f277-939d-4af1-ab6f-2463c3b7ad72,25,326374464
Libros,c9f06407-d441-4c75-b849-eaf3e603de9f,1,1748
Libros,71cf6ba6-e5af-443f-b176-fc1d9a2d0216,1,21303852
Libros,bde9def9-e24a-4396-ba79-efe4a886ccab,1,1748
Libros,8ccf080b-398c-4fcf-bf3d-872a9f1bc649,3,9704318
Libros de la Editorial Universitaria,3bf26aee-0526-47bf-8765-982ee1750a63,100,12479236
Libros del CDHRMA,b61ec0a3-3a1e-4236-b136-b93bf25b0c1d,12,177288396
Licenciado en Archivología,cee77645-beb9-4ed7-bc3d-0289e79a09fa,9,44901669
